Description
chromosome 1 open reading frame 50
chromosome 1 open reading frame 87
chromosome 1 open reading frame 52
chromosome 1 open reading frame 105
chromosome 2 open reading frame 68
chromosome 2 open reading frame 69
chromosome 3 open reading frame 38
chromosome 5 open reading frame 22
chromosome 5 putative open reading frame 67
chromosome 5 open reading frame 24
chromosome 6 open reading frame 89
chromosome 8 open reading frame 74
chromosome 8 open reading frame 89
chromosome 8 open reading frame 76
chromosome 8 open reading frame 33
chromosome 9 open reading frame 50
chromosome 10 open reading frame 120
chromosome 11 open reading frame 54
chromosome 12 open reading frame 29
chromosome 15 open reading frame 40
chromosome 16 open reading frame 78
chromosome 18 open reading frame 32
chromosome 21 open reading frame 91
chromosome 22 open reading frame 31
