Description
uncharacterized LOC100288175
uncharacterized LOC107984872
uncharacterized LOC112268220
uncharacterized LOC105376691
uncharacterized LOC105376737
uncharacterized LOC105376739
uncharacterized LOC105376805
uncharacterized LOC105376809
uncharacterized LOC105376832
uncharacterized LOC107985377
uncharacterized LOC105376859
uncharacterized LOC105376864
uncharacterized LOC105376910
uncharacterized LOC107984934
uncharacterized LOC105378632
uncharacterized LOC105378635
uncharacterized LOC105378675
uncharacterized LOC107984952
uncharacterized LOC105378740
uncharacterized LOC112268263
uncharacterized LOC107985379
uncharacterized LOC107984965
uncharacterized LOC105378773
uncharacterized LOC102724416
uncharacterized LOC105378806
uncharacterized LOC101927342
uncharacterized LOC105378807
uncharacterized MGC27382
uncharacterized LOC105378810
uncharacterized LOC105378811
uncharacterized LOC102724892
uncharacterized LOC105378821
uncharacterized LOC105378826
uncharacterized LOC105378833
uncharacterized LOC105378834
uncharacterized LOC105378856
uncharacterized LOC107985093
uncharacterized LOC105378879
uncharacterized LOC105378893
uncharacterized LOC105378899
uncharacterized LOC105378927
uncharacterized LOC107985524
uncharacterized LOC105379574
uncharacterized LOC105371215
uncharacterized LOC107985593
uncharacterized LOC112268274
uncharacterized LOC105371442
uncharacterized LOC101928009
uncharacterized LOC102724222
uncharacterized LOC105371457
uncharacterized LOC107985219
uncharacterized LOC107985451
uncharacterized LOC105371610
uncharacterized LOC105371618
uncharacterized LOC105371619
uncharacterized LOC105371635
uncharacterized LOC105371642
uncharacterized LOC105371657
uncharacterized LOC105371662
uncharacterized LOC107985458
uncharacterized LOC105371671
uncharacterized LOC107985459
uncharacterized LOC101929305
uncharacterized LOC101929326
uncharacterized LOC105371688
uncharacterized LOC105371695
uncharacterized LOC105372878
uncharacterized LOC105372879
uncharacterized LOC105372880
uncharacterized LOC105372901
uncharacterized LOC107985260
uncharacterized LOC105372922
uncharacterized LOC105372923
uncharacterized LOC105372937
uncharacterized LOC101927143
uncharacterized LOC105373108
uncharacterized LOC102723935
uncharacterized LOC107985359
uncharacterized LOC101929902
uncharacterized LOC105373198
uncharacterized LOC107985362
uncharacterized LOC107985465
uncharacterized LOC105373208
uncharacterized LOC105373210
uncharacterized LOC107985368
uncharacterized LOC105373220
uncharacterized LOC105373273
uncharacterized LOC107985747
uncharacterized LOC105379524
uncharacterized LOC440570
uncharacterized LOC105373352
uncharacterized LOC105373358
uncharacterized LOC102723730
uncharacterized LOC105373395
uncharacterized LOC105373397
uncharacterized LOC107985843
uncharacterized LOC105373401
uncharacterized LOC105373404
uncharacterized LOC105373408
uncharacterized LOC105373415
uncharacterized LOC105373426
uncharacterized LOC105373431
uncharacterized LOC100506474
uncharacterized LOC105373438
uncharacterized LOC107985854
uncharacterized LOC105373451
uncharacterized LOC105373456
uncharacterized LOC105373459
uncharacterized LOC105374317
uncharacterized LOC102723389
uncharacterized LOC105374325
uncharacterized LOC105369164
uncharacterized LOC105374386
uncharacterized LOC101929386
uncharacterized LOC102723594
uncharacterized LOC105374453
uncharacterized LOC112268436
uncharacterized LOC105374473
uncharacterized LOC105374475
uncharacterized LOC105374517
uncharacterized LOC105374531
uncharacterized LOC107985809
uncharacterized LOC105374592
uncharacterized LOC105374690
uncharacterized LOC105374760
uncharacterized LOC107985890
uncharacterized LOC107985812
uncharacterized LOC105374804
uncharacterized LOC105374811
uncharacterized LOC107985900
uncharacterized LOC105374817
uncharacterized LOC107985903
uncharacterized LOC105374831
uncharacterized LOC105374837
uncharacterized LOC105374854
uncharacterized LOC107985910
uncharacterized LOC105373494
uncharacterized LOC107985926
uncharacterized LOC105373523
uncharacterized LOC105375311
uncharacterized LOC105373531
uncharacterized LOC105373986
uncharacterized LOC102723413
uncharacterized LOC105373578
uncharacterized LOC107985941
uncharacterized LOC107985817
uncharacterized LOC105373585
uncharacterized LOC105373588
uncharacterized LOC105373592
uncharacterized LOC105373591
uncharacterized LOC105373601
uncharacterized LOC440910
uncharacterized LOC101928273
uncharacterized LOC105373639
uncharacterized LOC105373643
uncharacterized LOC105373641
uncharacterized LOC107985822
uncharacterized LOC100505498
uncharacterized LOC105373677
uncharacterized LOC105373682
uncharacterized LOC105373698
uncharacterized LOC105373700
uncharacterized LOC107985953
uncharacterized LOC105373703
uncharacterized LOC100130256
uncharacterized LOC105373739
uncharacterized LOC105373742
uncharacterized LOC107985962
uncharacterized LOC101929963
uncharacterized LOC107985965
uncharacterized LOC107985831
uncharacterized LOC107985969
uncharacterized LOC105376755
uncharacterized LOC105373823
uncharacterized LOC105373828
uncharacterized LOC105373833
uncharacterized LOC105373845
